Date;Frequency;Geo;Measure;Value;Vehicle
2011;Annual;Sweden;Percentage;83.8;Passenger cars
1990;Annual;Sweden;Percentage;9.5;Motor coaches, buses and trolley buses
1996;Annual;Sweden;Percentage;9.4;Motor coaches, buses and trolley buses
1998;Annual;United Kingdom;Percentage;88.5;Passenger cars
2004;Annual;United Kingdom;Percentage;88.7;Passenger cars
1990;Annual;United Kingdom;Percentage;7.0;Motor coaches, buses and trolley buses
2011;Annual;United Kingdom;Percentage;5.9;Motor coaches, buses and trolley buses
2012;Annual;United Kingdom;Percentage;5.8;Motor coaches, buses and trolley buses
2014;Annual;United Kingdom;Percentage;5.4;Motor coaches, buses and trolley buses
1999;Annual;Iceland;Percentage;88.8;Passenger cars
2002;Annual;Iceland;Percentage;11.4;Motor coaches, buses and trolley buses
2011;Annual;Iceland;Percentage;11.4;Motor coaches, buses and trolley buses
2008;Annual;Finland;Percentage;84.5;Passenger cars
1991;Annual;Finland;Percentage;13.1;Motor coaches, buses and trolley buses
1993;Annual;Finland;Percentage;13.2;Motor coaches, buses and trolley buses
2010;Annual;Finland;Percentage;9.9;Motor coaches, buses and trolley buses
1993;Annual;Sweden;Percentage;6.3;Trains
2002;Annual;Sweden;Percentage;7.2;Trains
2011;Annual;Sweden;Percentage;8.7;Trains
1993;Annual;Sweden;Percentage;84.4;Passenger cars
1998;Annual;Sweden;Percentage;83.9;Passenger cars
2014;Annual;Sweden;Percentage;7.3;Motor coaches, buses and trolley buses
2000;Annual;United Kingdom;Percentage;5.3;Trains
2008;Annual;United Kingdom;Percentage;6.9;Trains
2017;Annual;United Kingdom;Percentage;8.8;Trains
1993;Annual;United Kingdom;Percentage;88.9;Passenger cars
2000;Annual;United Kingdom;Percentage;88.1;Passenger cars
2007;Annual;United Kingdom;Percentage;87.9;Passenger cars
1997;Annual;United Kingdom;Percentage;6.4;Motor coaches, buses and trolley buses
2005;Annual;Iceland;Percentage;88.6;Passenger cars
2009;Annual;Iceland;Percentage;88.6;Passenger cars
2011;Annual;Norway;Percentage;7.0;Motor coaches, buses and trolley buses
2016;Annual;Norway;Percentage;5.9;Motor coaches, buses and trolley buses
1991;Annual;Switzerland;Percentage;15.0;Trains
1993;Annual;Switzerland;Percentage;80.9;Passenger cars
1994;Annual;Switzerland;Percentage;80.6;Passenger cars
2012;Annual;Switzerland;Percentage;75.0;Passenger cars
1994;Annual;Switzerland;Percentage;3.9;Motor coaches, buses and trolley buses
2009;Annual;Former Yugoslav Republic of Macedonia, the;Percentage;2.8;Trains
2001;Annual;Former Yugoslav Republic of Macedonia, the;Percentage;14.3;Motor coaches, buses and trolley buses
2009;Annual;Former Yugoslav Republic of Macedonia, the;Percentage;21.6;Motor coaches, buses and trolley buses
2002;Annual;Turkey;Percentage;3.1;Trains
2003;Annual;Turkey;Percentage;3.4;Trains
2010;Annual;Turkey;Percentage;2.4;Trains
2011;Annual;Turkey;Percentage;2.4;Trains
2017;Annual;Turkey;Percentage;1.5;Trains
1994;Annual;Turkey;Percentage;34.8;Passenger cars
2000;Annual;Turkey;Percentage;45.9;Passenger cars
2001;Annual;Turkey;Percentage;49.6;Passenger cars
2002;Annual;Turkey;Percentage;49.0;Passenger cars
2006;Annual;Turkey;Percentage;53.9;Passenger cars
2007;Annual;Turkey;Percentage;54.9;Passenger cars
2008;Annual;Turkey;Percentage;56.3;Passenger cars
2010;Annual;Turkey;Percentage;59.3;Passenger cars
2014;Annual;Turkey;Percentage;64.9;Passenger cars
2015;Annual;Turkey;Percentage;67.6;Passenger cars
2016;Annual;Turkey;Percentage;70.1;Passenger cars
1993;Annual;Turkey;Percentage;64.0;Motor coaches, buses and trolley buses
2000;Annual;Turkey;Percentage;50.7;Motor coaches, buses and trolley buses
2001;Annual;Turkey;Percentage;47.0;Motor coaches, buses and trolley buses
2016;Annual;Turkey;Percentage;28.5;Motor coaches, buses and trolley buses
2009;Annual;Iceland;Percentage;11.4;Motor coaches, buses and trolley buses
2011;Annual;Norway;Percentage;88.4;Passenger cars
1992;Annual;Switzerland;Percentage;14.6;Trains
2000;Annual;Switzerland;Percentage;5.2;Motor coaches, buses and trolley buses
2015;Annual;Former Yugoslav Republic of Macedonia, the;Percentage;74.0;Passenger cars
2017;Annual;Former Yugoslav Republic of Macedonia, the;Percentage;77.2;Passenger cars
1999;Annual;Former Yugoslav Republic of Macedonia, the;Percentage;15.8;Motor coaches, buses and trolley buses
2005;Annual;Former Yugoslav Republic of Macedonia, the;Percentage;19.1;Motor coaches, buses and trolley buses
2011;Annual;Former Yugoslav Republic of Macedonia, the;Percentage;23.1;Motor coaches, buses and trolley buses
2015;Annual;Former Yugoslav Republic of Macedonia, the;Percentage;24.1;Motor coaches, buses and trolley buses
1991;Annual;Turkey;Percentage;27.6;Passenger cars
2012;Annual;Finland;Percentage;84.9;Passenger cars
2002;Annual;Finland;Percentage;11.1;Motor coaches, buses and trolley buses
1997;Annual;Sweden;Percentage;9.4;Motor coaches, buses and trolley buses
1998;Annual;Sweden;Percentage;9.2;Motor coaches, buses and trolley buses
1994;Annual;United Kingdom;Percentage;4.2;Trains
2009;Annual;United Kingdom;Percentage;6.9;Trains
2015;Annual;United Kingdom;Percentage;8.7;Trains
1997;Annual;United Kingdom;Percentage;88.7;Passenger cars
1999;Annual;United Kingdom;Percentage;88.1;Passenger cars
2011;Annual;United Kingdom;Percentage;86.3;Passenger cars
2002;Annual;United Kingdom;Percentage;5.6;Motor coaches, buses and trolley buses
2003;Annual;United Kingdom;Percentage;6.1;Motor coaches, buses and trolley buses
2004;Annual;United Kingdom;Percentage;5.6;Motor coaches, buses and trolley buses
2000;Annual;Iceland;Percentage;88.6;Passenger cars
2002;Annual;Iceland;Percentage;88.6;Passenger cars
2011;Annual;Iceland;Percentage;88.6;Passenger cars
2014;Annual;Norway;Percentage;4.9;Trains
2001;Annual;Norway;Percentage;6.9;Motor coaches, buses and trolley buses
2005;Annual;Norway;Percentage;7.1;Motor coaches, buses and trolley buses
1999;Annual;Switzerland;Percentage;13.3;Trains
1995;Annual;Switzerland;Percentage;3.6;Motor coaches, buses and trolley buses
1998;Annual;Switzerland;Percentage;5.1;Motor coaches, buses and trolley buses
2002;Annual;Switzerland;Percentage;5.1;Motor coaches, buses and trolley buses
2006;Annual;Switzerland;Percentage;5.6;Motor coaches, buses and trolley buses
2009;Annual;Switzerland;Percentage;5.1;Motor coaches, buses and trolley buses
2010;Annual;Switzerland;Percentage;5.1;Motor coaches, buses and trolley buses
2013;Annual;Switzerland;Percentage;5.7;Motor coaches, buses and trolley buses
2001;Annual;Former Yugoslav Republic of Macedonia, the;Percentage;2.8;Trains
2004;Annual;Former Yugoslav Republic of Macedonia, the;Percentage;78.5;Passenger cars
2006;Annual;Former Yugoslav Republic of Macedonia, the;Percentage;80.4;Passenger cars
2010;Annual;Former Yugoslav Republic of Macedonia, the;Percentage;74.6;Passenger cars
2012;Annual;Former Yugoslav Republic of Macedonia, the;Percentage;77.3;Passenger cars
2014;Annual;Former Yugoslav Republic of Macedonia, the;Percentage;72.6;Passenger cars
2008;Annual;Turkey;Percentage;2.4;Trains
2015;Annual;European Union (28 countries);Percentage;7.8;Trains
2014;Annual;European Union (28 countries);Percentage;82.6;Passenger cars
2016;Annual;European Union (28 countries);Percentage;83.2;Passenger cars
2010;Annual;European Union (27 countries);Percentage;7.2;Trains
2007;Annual;European Union (27 countries);Percentage;83.1;Passenger cars
2001;Annual;European Union (27 countries);Percentage;10.2;Motor coaches, buses and trolley buses
2008;Annual;European Union (27 countries);Percentage;9.9;Motor coaches, buses and trolley buses
1993;Annual;Belgium;Percentage;5.9;Trains
1998;Annual;Belgium;Percentage;5.9;Trains
2012;Annual;Belgium;Percentage;7.8;Trains
2013;Annual;Belgium;Percentage;8.2;Trains
2016;Annual;Belgium;Percentage;7.7;Trains
2008;Annual;Belgium;Percentage;79.6;Passenger cars
2004;Annual;Belgium;Percentage;13.2;Motor coaches, buses and trolley buses
2015;Annual;Belgium;Percentage;10.9;Motor coaches, buses and trolley buses
2012;Annual;Bulgaria;Percentage;3.1;Trains
2002;Annual;Bulgaria;Percentage;61.2;Passenger cars
2009;Annual;Bulgaria;Percentage;79.5;Passenger cars
2012;Annual;Bulgaria;Percentage;82.1;Passenger cars
2004;Annual;Czech Republic;Percentage;7.5;Trains
2009;Annual;Czech Republic;Percentage;6.8;Trains
1995;Annual;Czech Republic;Percentage;73.4;Passenger cars
2004;Annual;Czech Republic;Percentage;16.0;Motor coaches, buses and trolley buses
2005;Annual;Czech Republic;Percentage;17.2;Motor coaches, buses and trolley buses
2007;Annual;Czech Republic;Percentage;17.0;Motor coaches, buses and trolley buses
1994;Annual;Denmark;Percentage;8.5;Trains
1995;Annual;Denmark;Percentage;8.1;Trains
1997;Annual;Denmark;Percentage;8.3;Trains
1998;Annual;Denmark;Percentage;8.5;Trains
1996;Annual;Denmark;Percentage;79.6;Passenger cars
2000;Annual;Denmark;Percentage;79.6;Passenger cars
1998;Annual;Denmark;Percentage;11.9;Motor coaches, buses and trolley buses
1995;Annual;Germany (until 1990 former territory of the FRG);Percentage;85.4;Passenger cars
1999;Annual;Germany (until 1990 former territory of the FRG);Percentage;85.7;Passenger cars
2001;Annual;Germany (until 1990 former territory of the FRG);Percentage;85.5;Passenger cars
1995;Annual;Germany (until 1990 former territory of the FRG);Percentage;7.2;Motor coaches, buses and trolley buses
2000;Annual;Germany (until 1990 former territory of the FRG);Percentage;7.1;Motor coaches, buses and trolley buses
2002;Annual;Germany (until 1990 former territory of the FRG);Percentage;6.7;Motor coaches, buses and trolley buses
2011;Annual;Germany (until 1990 former territory of the FRG);Percentage;5.9;Motor coaches, buses and trolley buses
2013;Annual;Germany (until 1990 former territory of the FRG);Percentage;5.7;Motor coaches, buses and trolley buses
2009;Annual;European Union (28 countries);Percentage;7.1;Trains
2016;Annual;European Union (28 countries);Percentage;7.8;Trains
2004;Annual;European Union (28 countries);Percentage;83.5;Passenger cars
2007;Annual;European Union (28 countries);Percentage;9.8;Motor coaches, buses and trolley buses
2005;Annual;European Union (27 countries);Percentage;83.3;Passenger cars
2010;Annual;European Union (27 countries);Percentage;83.4;Passenger cars
1990;Annual;Belgium;Percentage;6.1;Trains
2005;Annual;Belgium;Percentage;6.6;Trains
1995;Annual;Belgium;Percentage;11.3;Motor coaches, buses and trolley buses
1996;Annual;Belgium;Percentage;11.3;Motor coaches, buses and trolley buses
2007;Annual;Belgium;Percentage;14.1;Motor coaches, buses and trolley buses
2008;Annual;Belgium;Percentage;13.0;Motor coaches, buses and trolley buses
2016;Annual;Belgium;Percentage;10.5;Motor coaches, buses and trolley buses
2000;Annual;Bulgaria;Percentage;7.8;Trains
2003;Annual;Bulgaria;Percentage;5.5;Trains
2010;Annual;Bulgaria;Percentage;3.6;Trains
2015;Annual;Bulgaria;Percentage;2.3;Trains
2014;Annual;Bulgaria;Percentage;82.3;Passenger cars
2017;Annual;Bulgaria;Percentage;84.8;Passenger cars
1998;Annual;Czech Republic;Percentage;8.5;Trains
2003;Annual;Czech Republic;Percentage;7.3;Trains
2001;Annual;Czech Republic;Percentage;71.8;Passenger cars
2011;Annual;Czech Republic;Percentage;74.4;Passenger cars
2013;Annual;Czech Republic;Percentage;73.6;Passenger cars
1998;Annual;Czech Republic;Percentage;18.7;Motor coaches, buses and trolley buses
2012;Annual;Czech Republic;Percentage;17.7;Motor coaches, buses and trolley buses
2013;Annual;Czech Republic;Percentage;17.9;Motor coaches, buses and trolley buses
1990;Annual;Denmark;Percentage;82.4;Passenger cars
2002;Annual;Denmark;Percentage;79.1;Passenger cars
2012;Annual;Denmark;Percentage;80.0;Passenger cars
1997;Annual;Denmark;Percentage;12.1;Motor coaches, buses and trolley buses
2004;Annual;Denmark;Percentage;11.4;Motor coaches, buses and trolley buses
2008;Annual;Denmark;Percentage;10.5;Motor coaches, buses and trolley buses
2010;Annual;Denmark;Percentage;10.5;Motor coaches, buses and trolley buses
2013;Annual;Denmark;Percentage;9.8;Motor coaches, buses and trolley buses
2016;Annual;Denmark;Percentage;9.8;Motor coaches, buses and trolley buses
2003;Annual;Germany (until 1990 former territory of the FRG);Percentage;7.2;Trains
2008;Annual;Germany (until 1990 former territory of the FRG);Percentage;8.1;Trains
2012;Annual;Germany (until 1990 former territory of the FRG);Percentage;8.9;Trains
2013;Annual;Germany (until 1990 former territory of the FRG);Percentage;8.5;Trains
2007;Annual;Estonia;Percentage;2.1;Trains
2003;Annual;Estonia;Percentage;73.6;Passenger cars
2000;Annual;Estonia;Percentage;27.5;Motor coaches, buses and trolley buses
2000;Annual;Ireland;Percentage;3.2;Trains
1990;Annual;Ireland;Percentage;11.5;Motor coaches, buses and trolley buses
2004;Annual;Ireland;Percentage;15.1;Motor coaches, buses and trolley buses
1996;Annual;Greece;Percentage;2.5;Trains
1999;Annual;Greece;Percentage;2.0;Trains
2007;Annual;Greece;Percentage;79.9;Passenger cars
1991;Annual;Greece;Percentage;31.8;Motor coaches, buses and trolley buses
2002;Annual;Greece;Percentage;23.0;Motor coaches, buses and trolley buses
2016;Annual;Greece;Percentage;17.1;Motor coaches, buses and trolley buses
1994;Annual;Spain;Percentage;5.1;Trains
2009;Annual;Spain;Percentage;5.4;Trains
2011;Annual;Spain;Percentage;5.6;Trains
2010;Annual;Spain;Percentage;82.3;Passenger cars
2016;Annual;Spain;Percentage;81.6;Passenger cars
1999;Annual;Spain;Percentage;13.8;Motor coaches, buses and trolley buses
2002;Annual;France;Percentage;8.7;Trains
2016;Annual;France;Percentage;10.0;Trains
2003;Annual;Croatia;Percentage;4.2;Trains
1999;Annual;Croatia;Percentage;14.3;Motor coaches, buses and trolley buses
2000;Annual;Italy;Percentage;83.3;Passenger cars
2011;Annual;Italy;Percentage;81.1;Passenger cars
1994;Annual;Italy;Percentage;11.0;Motor coaches, buses and trolley buses
2001;Annual;Italy;Percentage;11.0;Motor coaches, buses and trolley buses
2013;Annual;Italy;Percentage;14.1;Motor coaches, buses and trolley buses
1996;Annual;Cyprus;Percentage;77.1;Passenger cars
2004;Annual;Cyprus;Percentage;78.8;Passenger cars
2006;Annual;Cyprus;Percentage;79.6;Passenger cars
1998;Annual;Cyprus;Percentage;22.3;Motor coaches, buses and trolley buses
1997;Annual;Latvia;Percentage;9.3;Trains
2017;Annual;Latvia;Percentage;3.3;Trains
1999;Annual;Latvia;Percentage;73.9;Passenger cars
2014;Annual;Latvia;Percentage;79.0;Passenger cars
2016;Annual;Latvia;Percentage;81.5;Passenger cars
1999;Annual;Latvia;Percentage;19.4;Motor coaches, buses and trolley buses
2005;Annual;Latvia;Percentage;21.1;Motor coaches, buses and trolley buses
2006;Annual;Lithuania;Percentage;0.6;Trains
2009;Annual;Lithuania;Percentage;0.6;Trains
2014;Annual;Lithuania;Percentage;88.3;Passenger cars
2017;Annual;Lithuania;Percentage;91.1;Passenger cars
2004;Annual;Lithuania;Percentage;11.9;Motor coaches, buses and trolley buses
2007;Annual;Lithuania;Percentage;8.4;Motor coaches, buses and trolley buses
2014;Annual;Lithuania;Percentage;10.8;Motor coaches, buses and trolley buses
1993;Annual;Luxembourg;Percentage;5.0;Trains
2016;Annual;Luxembourg;Percentage;4.6;Trains
2017;Annual;Luxembourg;Percentage;4.7;Trains
1992;Annual;Luxembourg;Percentage;84.9;Passenger cars
1997;Annual;Luxembourg;Percentage;85.1;Passenger cars
2001;Annual;Luxembourg;Percentage;85.2;Passenger cars
2004;Annual;Luxembourg;Percentage;85.6;Passenger cars
2005;Annual;Luxembourg;Percentage;85.5;Passenger cars
2009;Annual;Luxembourg;Percentage;84.3;Passenger cars
1997;Annual;Luxembourg;Percentage;9.7;Motor coaches, buses and trolley buses
2006;Annual;Luxembourg;Percentage;10.8;Motor coaches, buses and trolley buses
2013;Annual;Luxembourg;Percentage;12.4;Motor coaches, buses and trolley buses
1999;Annual;Hungary;Percentage;12.9;Trains
1999;Annual;Hungary;Percentage;62.8;Passenger cars
2017;Annual;Hungary;Percentage;70.0;Passenger cars
1990;Annual;Hungary;Percentage;24.8;Motor coaches, buses and trolley buses
1998;Annual;Hungary;Percentage;23.8;Motor coaches, buses and trolley buses
2008;Annual;Hungary;Percentage;22.1;Motor coaches, buses and trolley buses
1996;Annual;Malta;Percentage;80.4;Passenger cars
1998;Annual;Malta;Percentage;79.6;Passenger cars
2010;Annual;Malta;Percentage;81.5;Passenger cars
2015;Annual;Malta;Percentage;82.3;Passenger cars
2001;Annual;Malta;Percentage;20.7;Motor coaches, buses and trolley buses
2002;Annual;Malta;Percentage;20.6;Motor coaches, buses and trolley buses
2004;Annual;Malta;Percentage;20.4;Motor coaches, buses and trolley buses
2009;Annual;Malta;Percentage;18.1;Motor coaches, buses and trolley buses
2006;Annual;Netherlands;Percentage;9.4;Trains
2008;Annual;Netherlands;Percentage;9.2;Trains
2001;Annual;Netherlands;Percentage;86.0;Passenger cars
2012;Annual;Netherlands;Percentage;86.6;Passenger cars
2013;Annual;Netherlands;Percentage;86.0;Passenger cars
2015;Annual;Netherlands;Percentage;86.1;Passenger cars
2004;Annual;Netherlands;Percentage;3.9;Motor coaches, buses and trolley buses
2008;Annual;Netherlands;Percentage;3.5;Motor coaches, buses and trolley buses
2013;Annual;Netherlands;Percentage;2.7;Motor coaches, buses and trolley buses
2015;Annual;Netherlands;Percentage;3.0;Motor coaches, buses and trolley buses
2017;Annual;Netherlands;Percentage;2.9;Motor coaches, buses and trolley buses
2008;Annual;Estonia;Percentage;79.4;Passenger cars
2013;Annual;Estonia;Percentage;81.0;Passenger cars
2012;Annual;Ireland;Percentage;2.8;Trains
2004;Annual;Ireland;Percentage;81.9;Passenger cars
2007;Annual;Ireland;Percentage;14.2;Motor coaches, buses and trolley buses
2011;Annual;Ireland;Percentage;19.4;Motor coaches, buses and trolley buses
1991;Annual;Greece;Percentage;3.6;Trains
2008;Annual;Greece;Percentage;1.3;Trains
2006;Annual;Greece;Percentage;79.2;Passenger cars
1991;Annual;Spain;Percentage;80.4;Passenger cars
2009;Annual;Spain;Percentage;81.4;Passenger cars
2014;Annual;Spain;Percentage;10.6;Motor coaches, buses and trolley buses
2017;Annual;Spain;Percentage;7.8;Motor coaches, buses and trolley buses
1992;Annual;France;Percentage;8.6;Trains
1998;Annual;France;Percentage;8.2;Trains
2009;Annual;France;Percentage;9.4;Trains
2001;Annual;France;Percentage;86.6;Passenger cars
2008;Annual;France;Percentage;84.2;Passenger cars
1990;Annual;France;Percentage;6.0;Motor coaches, buses and trolley buses
2012;Annual;France;Percentage;5.4;Motor coaches, buses and trolley buses
1996;Annual;Croatia;Percentage;6.0;Trains
2016;Annual;Croatia;Percentage;2.7;Trains
2007;Annual;Croatia;Percentage;12.1;Motor coaches, buses and trolley buses
1994;Annual;Italy;Percentage;83.0;Passenger cars
1995;Annual;Italy;Percentage;82.4;Passenger cars
2009;Annual;Italy;Percentage;82.8;Passenger cars
1999;Annual;Cyprus;Percentage;77.9;Passenger cars
2009;Annual;Cyprus;Percentage;82.4;Passenger cars
2013;Annual;Cyprus;Percentage;81.5;Passenger cars
2002;Annual;Latvia;Percentage;4.8;Trains
2005;Annual;Latvia;Percentage;5.4;Trains
2006;Annual;Latvia;Percentage;5.4;Trains
2014;Annual;Latvia;Percentage;4.0;Trains
2006;Annual;Latvia;Percentage;18.0;Motor coaches, buses and trolley buses
2017;Annual;Latvia;Percentage;14.0;Motor coaches, buses and trolley buses
2007;Annual;Lithuania;Percentage;0.6;Trains
2012;Annual;Lithuania;Percentage;0.7;Trains
2012;Annual;Lithuania;Percentage;91.9;Passenger cars
2002;Annual;Lithuania;Percentage;15.4;Motor coaches, buses and trolley buses
2009;Annual;Lithuania;Percentage;7.1;Motor coaches, buses and trolley buses
1995;Annual;Luxembourg;Percentage;5.2;Trains
2012;Annual;Luxembourg;Percentage;4.6;Trains
2011;Annual;Luxembourg;Percentage;83.1;Passenger cars
1990;Annual;Luxembourg;Percentage;10.2;Motor coaches, buses and trolley buses
1993;Annual;Luxembourg;Percentage;9.8;Motor coaches, buses and trolley buses
2002;Annual;Luxembourg;Percentage;10.5;Motor coaches, buses and trolley buses
2012;Annual;Luxembourg;Percentage;12.4;Motor coaches, buses and trolley buses
1991;Annual;Hungary;Percentage;13.3;Trains
1998;Annual;Hungary;Percentage;12.3;Trains
2006;Annual;Hungary;Percentage;11.9;Trains
2010;Annual;Hungary;Percentage;10.0;Trains
2004;Annual;Hungary;Percentage;63.2;Passenger cars
2007;Annual;Hungary;Percentage;67.6;Passenger cars
2009;Annual;Hungary;Percentage;69.1;Passenger cars
2012;Annual;Hungary;Percentage;67.6;Passenger cars
2015;Annual;Hungary;Percentage;22.3;Motor coaches, buses and trolley buses
2016;Annual;Hungary;Percentage;21.7;Motor coaches, buses and trolley buses
2017;Annual;Hungary;Percentage;21.1;Motor coaches, buses and trolley buses
2001;Annual;Malta;Percentage;79.3;Passenger cars
2005;Annual;Malta;Percentage;80.3;Passenger cars
2016;Annual;Malta;Percentage;82.6;Passenger cars
2017;Annual;Malta;Percentage;82.5;Passenger cars
2013;Annual;Netherlands;Percentage;11.3;Trains
2000;Annual;Netherlands;Percentage;86.0;Passenger cars
1995;Annual;Austria;Percentage;12.0;Trains
1996;Annual;Austria;Percentage;11.9;Trains
1998;Annual;Austria;Percentage;9.8;Trains
2006;Annual;Austria;Percentage;10.0;Trains
2009;Annual;Austria;Percentage;11.1;Trains
2011;Annual;Austria;Percentage;11.3;Trains
1991;Annual;Austria;Percentage;77.0;Passenger cars
1992;Annual;Austria;Percentage;77.0;Passenger cars
1997;Annual;Austria;Percentage;79.0;Passenger cars
2014;Annual;Austria;Percentage;77.6;Passenger cars
1996;Annual;Austria;Percentage;10.7;Motor coaches, buses and trolley buses
2001;Annual;Austria;Percentage;10.9;Motor coaches, buses and trolley buses
2003;Annual;Austria;Percentage;10.9;Motor coaches, buses and trolley buses
2005;Annual;Austria;Percentage;10.5;Motor coaches, buses and trolley buses
2008;Annual;Austria;Percentage;10.6;Motor coaches, buses and trolley buses
2010;Annual;Austria;Percentage;10.6;Motor coaches, buses and trolley buses
2014;Annual;Austria;Percentage;10.3;Motor coaches, buses and trolley buses
2016;Annual;Austria;Percentage;10.2;Motor coaches, buses and trolley buses
1994;Annual;Poland;Percentage;16.8;Trains
2009;Annual;Poland;Percentage;7.4;Trains
2016;Annual;Poland;Percentage;7.3;Trains
1995;Annual;Poland;Percentage;64.6;Passenger cars
1996;Annual;Poland;Percentage;69.3;Passenger cars
1998;Annual;Poland;Percentage;72.1;Passenger cars
2000;Annual;Poland;Percentage;64.3;Passenger cars
2005;Annual;Poland;Percentage;74.6;Passenger cars
2011;Annual;Poland;Percentage;77.4;Passenger cars
2015;Annual;Poland;Percentage;78.5;Passenger cars
1990;Annual;Poland;Percentage;28.1;Motor coaches, buses and trolley buses
2003;Annual;Poland;Percentage;21.2;Motor coaches, buses and trolley buses
2004;Annual;Poland;Percentage;20.4;Motor coaches, buses and trolley buses
2005;Annual;Poland;Percentage;18.6;Motor coaches, buses and trolley buses
2008;Annual;Poland;Percentage;19.9;Motor coaches, buses and trolley buses
2010;Annual;Poland;Percentage;16.8;Motor coaches, buses and trolley buses
2015;Annual;Poland;Percentage;14.7;Motor coaches, buses and trolley buses
2017;Annual;Poland;Percentage;13.8;Motor coaches, buses and trolley buses
1992;Annual;Portugal;Percentage;9.0;Trains
1997;Annual;Portugal;Percentage;6.1;Trains
2009;Annual;Portugal;Percentage;4.4;Trains
2012;Annual;Portugal;Percentage;4.1;Trains
2016;Annual;Portugal;Percentage;4.2;Trains
2017;Annual;Portugal;Percentage;4.3;Trains
1992;Annual;Portugal;Percentage;68.2;Passenger cars
2002;Annual;Portugal;Percentage;84.9;Passenger cars
2004;Annual;Portugal;Percentage;85.1;Passenger cars
2012;Annual;Portugal;Percentage;89.5;Passenger cars
2017;Annual;Portugal;Percentage;88.5;Passenger cars
1993;Annual;Portugal;Percentage;19.3;Motor coaches, buses and trolley buses
1994;Annual;Portugal;Percentage;17.9;Motor coaches, buses and trolley buses
2002;Annual;Portugal;Percentage;10.9;Motor coaches, buses and trolley buses
2004;Annual;Portugal;Percentage;11.1;Motor coaches, buses and trolley buses
2005;Annual;Portugal;Percentage;6.7;Motor coaches, buses and trolley buses
2006;Annual;Portugal;Percentage;6.3;Motor coaches, buses and trolley buses
2014;Annual;Portugal;Percentage;6.1;Motor coaches, buses and trolley buses
2015;Annual;Portugal;Percentage;6.9;Motor coaches, buses and trolley buses
2017;Annual;Portugal;Percentage;7.1;Motor coaches, buses and trolley buses
1996;Annual;Romania;Percentage;24.9;Trains
2010;Annual;Romania;Percentage;5.6;Trains
2012;Annual;Romania;Percentage;4.6;Trains
2016;Annual;Romania;Percentage;4.2;Trains
1996;Annual;Romania;Percentage;57.7;Passenger cars
2001;Annual;Romania;Percentage;72.5;Passenger cars
2003;Annual;Romania;Percentage;75.7;Passenger cars
2014;Annual;Romania;Percentage;78.5;Passenger cars
2017;Annual;Romania;Percentage;80.3;Passenger cars
2004;Annual;Romania;Percentage;12.4;Motor coaches, buses and trolley buses
2009;Annual;Romania;Percentage;13.6;Motor coaches, buses and trolley buses
2002;Annual;Slovenia;Percentage;3.0;Trains
2009;Annual;Slovenia;Percentage;2.6;Trains
2010;Annual;Slovenia;Percentage;2.5;Trains
1991;Annual;Slovenia;Percentage;66.4;Passenger cars
2011;Annual;Slovenia;Percentage;86.6;Passenger cars
2012;Annual;Slovenia;Percentage;86.7;Passenger cars
2017;Annual;Slovenia;Percentage;86.5;Passenger cars
1999;Annual;Slovenia;Percentage;16.7;Motor coaches, buses and trolley buses
2001;Annual;Slovenia;Percentage;13.6;Motor coaches, buses and trolley buses
2011;Annual;Slovenia;Percentage;11.0;Motor coaches, buses and trolley buses
2013;Annual;Slovenia;Percentage;11.4;Motor coaches, buses and trolley buses
2015;Annual;Slovenia;Percentage;11.8;Motor coaches, buses and trolley buses
2005;Annual;Slovakia;Percentage;5.9;Trains
2015;Annual;Slovakia;Percentage;9.4;Trains
1995;Annual;Slovakia;Percentage;44.5;Passenger cars
2015;Annual;Slovakia;Percentage;75.8;Passenger cars
2016;Annual;Slovakia;Percentage;74.8;Passenger cars
1993;Annual;Slovakia;Percentage;41.4;Motor coaches, buses and trolley buses
2000;Annual;Slovakia;Percentage;27.8;Motor coaches, buses and trolley buses
2001;Annual;Slovakia;Percentage;27.8;Motor coaches, buses and trolley buses
2003;Annual;Slovakia;Percentage;24.8;Motor coaches, buses and trolley buses
2005;Annual;Slovakia;Percentage;24.8;Motor coaches, buses and trolley buses
2014;Annual;Slovakia;Percentage;15.2;Motor coaches, buses and trolley buses
1990;Annual;Finland;Percentage;5.3;Trains
1991;Annual;Finland;Percentage;5.2;Trains
1993;Annual;Finland;Percentage;5.0;Trains
2003;Annual;Finland;Percentage;4.7;Trains
2006;Annual;Finland;Percentage;4.8;Trains
2011;Annual;Finland;Percentage;5.0;Trains
2015;Annual;Finland;Percentage;5.3;Trains
2016;Annual;Finland;Percentage;5.6;Trains
1999;Annual;Finland;Percentage;83.3;Passenger cars
2002;Annual;Finland;Percentage;84.1;Passenger cars
2003;Annual;Finland;Percentage;84.4;Passenger cars
2010;Annual;Finland;Percentage;84.9;Passenger cars
2007;Annual;Finland;Percentage;10.0;Motor coaches, buses and trolley buses
2012;Annual;Finland;Percentage;9.8;Motor coaches, buses and trolley buses
2004;Annual;Sweden;Percentage;6.9;Trains
2005;Annual;Sweden;Percentage;7.1;Trains
1999;Annual;Sweden;Percentage;83.9;Passenger cars
2005;Annual;Sweden;Percentage;85.9;Passenger cars
1999;Annual;Sweden;Percentage;9.0;Motor coaches, buses and trolley buses
2002;Annual;Sweden;Percentage;7.5;Motor coaches, buses and trolley buses
