Date;Frequency;Geo;Measure;Tra Mode;Value
2006;Annual;Germany (until 1990 former territory of the FRG);Percentage;Inland waterways;11.3
2012;Annual;Italy;Percentage;Railways, inland waterways - sum of available data;12.7
2015;Annual;Italy;Percentage;Railways, inland waterways - sum of available data;13.5
2016;Annual;Italy;Percentage;Railways, inland waterways - sum of available data;14.7
2017;Annual;Hungary;Percentage;Roads;62.7
2005;Annual;Netherlands;Percentage;Railways, inland waterways - sum of available data;49.2
2006;Annual;Netherlands;Percentage;Railways, inland waterways - sum of available data;49.3
2012;Annual;Netherlands;Percentage;Railways, inland waterways - sum of available data;53.3
2014;Annual;Netherlands;Percentage;Railways, inland waterways - sum of available data;51.8
2018;Annual;Netherlands;Percentage;Railways, inland waterways - sum of available data;49.6
2007;Annual;Netherlands;Percentage;Roads;48.2
2008;Annual;Netherlands;Percentage;Roads;49.1
2012;Annual;Hungary;Percentage;Inland waterways;6.4
2016;Annual;Hungary;Percentage;Inland waterways;5.4
2005;Annual;Portugal;Percentage;Railways;9.2
2007;Annual;Portugal;Percentage;Railways;9.1
2016;Annual;Portugal;Percentage;Railways;14.5
2011;Annual;Italy;Percentage;Inland waterways;0.1
2013;Annual;Italy;Percentage;Inland waterways;0.1
2016;Annual;Italy;Percentage;Inland waterways;0.0
2008;Annual;Latvia;Percentage;Railways;83.4
2009;Annual;Latvia;Percentage;Railways;85.4
2016;Annual;Latvia;Percentage;Railways;76.6
2018;Annual;Latvia;Percentage;Railways;75.8
2008;Annual;Lithuania;Percentage;Railways;73.0
2010;Annual;Lithuania;Percentage;Railways;72.8
2011;Annual;Luxembourg;Percentage;Railways, inland waterways - sum of available data;21.6
2012;Annual;Luxembourg;Percentage;Railways, inland waterways - sum of available data;16.0
2013;Annual;Luxembourg;Percentage;Railways, inland waterways - sum of available data;17.8
2014;Annual;Romania;Percentage;Roads;40.8
2015;Annual;Romania;Percentage;Roads;38.0
2018;Annual;Romania;Percentage;Roads;44.0
2011;Annual;Romania;Percentage;Inland waterways;27.4
2012;Annual;Romania;Percentage;Inland waterways;29.2
2013;Annual;Romania;Percentage;Inland waterways;29.0
2014;Annual;Romania;Percentage;Inland waterways;29.0
2016;Annual;Romania;Percentage;Inland waterways;29.4
2005;Annual;Romania;Percentage;Railways, inland waterways - sum of available data;49.2
2014;Annual;Romania;Percentage;Railways, inland waterways - sum of available data;59.2
2015;Annual;Romania;Percentage;Railways, inland waterways - sum of available data;62.0
2012;Annual;Switzerland;Percentage;Railways;34.6
2013;Annual;Switzerland;Percentage;Railways;36.1
2005;Annual;Slovakia;Percentage;Railways;45.4
2010;Annual;Slovakia;Percentage;Railways;38.5
2015;Annual;Slovakia;Percentage;Railways;36.6
2017;Annual;Slovakia;Percentage;Railways;32.9
2018;Annual;Slovakia;Percentage;Railways;32.6
2006;Annual;Sweden;Percentage;Railways, inland waterways - sum of available data;32.2
2008;Annual;Sweden;Percentage;Railways, inland waterways - sum of available data;31.9
2011;Annual;Sweden;Percentage;Railways, inland waterways - sum of available data;34.8
2016;Annual;Sweden;Percentage;Railways, inland waterways - sum of available data;29.5
2007;Annual;Austria;Percentage;Roads;61.7
2017;Annual;Austria;Percentage;Roads;65.4
2006;Annual;Austria;Percentage;Inland waterways;3.2
2014;Annual;Austria;Percentage;Inland waterways;3.5
2007;Annual;Poland;Percentage;Roads;63.6
2009;Annual;Poland;Percentage;Roads;71.1
2014;Annual;Poland;Percentage;Roads;73.4
2015;Annual;Poland;Percentage;Roads;74.4
2010;Annual;Poland;Percentage;Inland waterways;0.1
2011;Annual;Poland;Percentage;Inland waterways;0.1
2015;Annual;Poland;Percentage;Inland waterways;0.0
2017;Annual;Poland;Percentage;Inland waterways;0.1
2009;Annual;Luxembourg;Percentage;Inland waterways;11.4
2017;Annual;Luxembourg;Percentage;Inland waterways;6.2
2005;Annual;Hungary;Percentage;Railways;27.2
2016;Annual;Hungary;Percentage;Railways;28.6
2017;Annual;Hungary;Percentage;Railways;32.4
2009;Annual;Ireland;Percentage;Roads;99.2
2014;Annual;Ireland;Percentage;Roads;98.9
2015;Annual;Ireland;Percentage;Roads;99.0
2017;Annual;Ireland;Percentage;Roads;99.1
2018;Annual;Ireland;Percentage;Roads;99.2
2007;Annual;Spain;Percentage;Railways;4.5
2008;Annual;Spain;Percentage;Railways;4.8
2014;Annual;Spain;Percentage;Railways;5.9
2016;Annual;Spain;Percentage;Railways;5.3
2008;Annual;United Kingdom;Percentage;Railways, inland waterways - sum of available data;11.2
2011;Annual;United Kingdom;Percentage;Railways, inland waterways - sum of available data;12.1
2013;Annual;United Kingdom;Percentage;Railways, inland waterways - sum of available data;13.5
2016;Annual;United Kingdom;Percentage;Railways, inland waterways - sum of available data;9.5
2005;Annual;Norway;Percentage;Railways;15.7
2007;Annual;Norway;Percentage;Railways;16.4
2015;Annual;Norway;Percentage;Railways;12.9
2016;Annual;Norway;Percentage;Railways;13.0
2017;Annual;Norway;Percentage;Railways;15.2
2005;Annual;Portugal;Percentage;Railways, inland waterways - sum of available data;9.2
2015;Annual;Portugal;Percentage;Railways, inland waterways - sum of available data;14.1
2016;Annual;Portugal;Percentage;Railways, inland waterways - sum of available data;14.5
2012;Annual;Slovenia;Percentage;Railways;32.8
2016;Annual;Slovenia;Percentage;Railways;33.9
2007;Annual;Portugal;Percentage;Roads;90.9
2016;Annual;Portugal;Percentage;Roads;85.5
2017;Annual;Portugal;Percentage;Roads;85.9
2008;Annual;Norway;Percentage;Railways, inland waterways - sum of available data;15.6
2010;Annual;Norway;Percentage;Railways, inland waterways - sum of available data;15.4
2016;Annual;Norway;Percentage;Railways, inland waterways - sum of available data;13.0
2005;Annual;Switzerland;Percentage;Railways, inland waterways - sum of available data;33.7
2012;Annual;Switzerland;Percentage;Railways, inland waterways - sum of available data;34.8
2013;Annual;Switzerland;Percentage;Railways, inland waterways - sum of available data;36.3
2014;Annual;Switzerland;Percentage;Railways, inland waterways - sum of available data;36.3
2009;Annual;Cyprus;Percentage;Roads;100.0
2011;Annual;Cyprus;Percentage;Roads;100.0
2013;Annual;Cyprus;Percentage;Roads;100.0
2016;Annual;Cyprus;Percentage;Roads;100.0
2018;Annual;Cyprus;Percentage;Roads;100.0
2009;Annual;Lithuania;Percentage;Roads;29.6
2014;Annual;Lithuania;Percentage;Roads;31.9
2005;Annual;Netherlands;Percentage;Inland waterways;43.2
2012;Annual;Netherlands;Percentage;Inland waterways;47.2
2013;Annual;Netherlands;Percentage;Inland waterways;46.0
2017;Annual;Netherlands;Percentage;Inland waterways;44.7
2009;Annual;Austria;Percentage;Railways;32.0
2007;Annual;Lithuania;Percentage;Inland waterways;0.1
2010;Annual;Luxembourg;Percentage;Railways;11.6
2015;Annual;Luxembourg;Percentage;Railways;7.1
2008;Annual;Slovenia;Percentage;Railways, inland waterways - sum of available data;29.7
2009;Annual;Slovenia;Percentage;Railways, inland waterways - sum of available data;28.0
2013;Annual;Slovenia;Percentage;Railways, inland waterways - sum of available data;34.8
2018;Annual;Slovenia;Percentage;Railways, inland waterways - sum of available data;35.3
2010;Annual;Finland;Percentage;Railways;26.8
2012;Annual;Finland;Percentage;Railways;28.6
2018;Annual;Finland;Percentage;Railways;29.0
2013;Annual;Hungary;Percentage;Railways, inland waterways - sum of available data;36.7
2014;Annual;Hungary;Percentage;Railways, inland waterways - sum of available data;36.6
2017;Annual;Hungary;Percentage;Railways, inland waterways - sum of available data;37.3
2007;Annual;Slovenia;Percentage;Roads;69.9
2009;Annual;Slovenia;Percentage;Roads;72.0
2014;Annual;Slovenia;Percentage;Roads;64.0
2018;Annual;Slovenia;Percentage;Roads;64.7
2009;Annual;Finland;Percentage;Roads;74.0
2013;Annual;Finland;Percentage;Roads;69.5
2010;Annual;Finland;Percentage;Inland waterways;0.2
2011;Annual;Finland;Percentage;Inland waterways;0.3
2012;Annual;Finland;Percentage;Inland waterways;0.4
2018;Annual;Finland;Percentage;Inland waterways;0.4
2017;Annual;Sweden;Percentage;Inland waterways;0.0
2007;Annual;Sweden;Percentage;Roads;67.3
2009;Annual;Sweden;Percentage;Roads;66.7
2011;Annual;Sweden;Percentage;Roads;65.2
2015;Annual;Sweden;Percentage;Roads;70.5
2018;Annual;Sweden;Percentage;Roads;68.9
2005;Annual;European Union - 28 countries (2013-2020);Percentage;Railways;17.9
2006;Annual;European Union - 28 countries (2013-2020);Percentage;Railways;18.2
2013;Annual;European Union - 28 countries (2013-2020);Percentage;Railways;18.3
2009;Annual;Belgium;Percentage;Railways;11.0
2010;Annual;Belgium;Percentage;Railways;12.0
2016;Annual;Belgium;Percentage;Railways;11.1
2010;Annual;Greece;Percentage;Railways;2.2
2012;Annual;Greece;Percentage;Railways;1.5
2015;Annual;Greece;Percentage;Railways;1.6
2012;Annual;France;Percentage;Railways, inland waterways - sum of available data;13.8
2014;Annual;France;Percentage;Railways, inland waterways - sum of available data;13.7
2007;Annual;Croatia;Percentage;Railways, inland waterways - sum of available data;28.5
2010;Annual;Croatia;Percentage;Railways, inland waterways - sum of available data;31.0
2006;Annual;Latvia;Percentage;Railways, inland waterways - sum of available data;81.0
2007;Annual;Latvia;Percentage;Railways, inland waterways - sum of available data;80.6
2011;Annual;Latvia;Percentage;Railways, inland waterways - sum of available data;84.2
2014;Annual;Latvia;Percentage;Railways, inland waterways - sum of available data;81.2
2015;Annual;Latvia;Percentage;Railways, inland waterways - sum of available data;79.8
2006;Annual;Slovakia;Percentage;Railways, inland waterways - sum of available data;50.9
2013;Annual;Slovakia;Percentage;Railways, inland waterways - sum of available data;43.6
2014;Annual;Slovakia;Percentage;Railways, inland waterways - sum of available data;42.9
2015;Annual;Slovakia;Percentage;Railways, inland waterways - sum of available data;39.8
2010;Annual;Norway;Percentage;Roads;84.6
2009;Annual;Switzerland;Percentage;Roads;66.3
2013;Annual;Switzerland;Percentage;Roads;63.7
2014;Annual;Switzerland;Percentage;Roads;63.7
2016;Annual;Switzerland;Percentage;Roads;62.4
2018;Annual;Switzerland;Percentage;Roads;65.2
2006;Annual;Switzerland;Percentage;Inland waterways;0.1
2010;Annual;Switzerland;Percentage;Inland waterways;0.1
2013;Annual;European Union - 27 countries (from 2020);Percentage;Railways, inland waterways - sum of available data;26.1
2008;Annual;European Union - 27 countries (from 2020);Percentage;Railways;18.7
2012;Annual;European Union - 27 countries (from 2020);Percentage;Railways;19.1
2012;Annual;European Union - 27 countries (from 2020);Percentage;Roads;73.5
2016;Annual;European Union - 27 countries (from 2020);Percentage;Roads;74.4
2011;Annual;European Union - 27 countries (from 2020);Percentage;Inland waterways;6.8
2018;Annual;European Union - 27 countries (from 2020);Percentage;Inland waterways;6.0
2005;Annual;Czechia;Percentage;Railways, inland waterways - sum of available data;31.5
2007;Annual;Czechia;Percentage;Railways, inland waterways - sum of available data;32.2
2008;Annual;Czechia;Percentage;Railways, inland waterways - sum of available data;32.2
2010;Annual;Czechia;Percentage;Railways, inland waterways - sum of available data;30.2
2012;Annual;Czechia;Percentage;Railways, inland waterways - sum of available data;30.6
2014;Annual;Czechia;Percentage;Railways, inland waterways - sum of available data;28.3
2011;Annual;France;Percentage;Railways;10.8
2013;Annual;France;Percentage;Railways;10.6
2006;Annual;Croatia;Percentage;Roads;73.1
2017;Annual;Croatia;Percentage;Roads;73.6
2005;Annual;Croatia;Percentage;Inland waterways;5.1
2015;Annual;Croatia;Percentage;Inland waterways;7.8
2007;Annual;Latvia;Percentage;Roads;19.4
2011;Annual;Latvia;Percentage;Roads;15.8
2013;Annual;Latvia;Percentage;Roads;18.8
2018;Annual;Latvia;Percentage;Roads;24.2
2014;Annual;Malta;Percentage;Roads;100.0
2005;Annual;Netherlands;Percentage;Railways;6.0
2011;Annual;Netherlands;Percentage;Railways;6.3
2016;Annual;Netherlands;Percentage;Railways;6.0
2017;Annual;Netherlands;Percentage;Railways;5.9
2005;Annual;Austria;Percentage;Railways, inland waterways - sum of available data;39.0
2012;Annual;Austria;Percentage;Railways, inland waterways - sum of available data;36.3
2018;Annual;Austria;Percentage;Railways, inland waterways - sum of available data;33.7
2008;Annual;European Union - 28 countries (2013-2020);Percentage;Roads;75.4
2012;Annual;European Union - 28 countries (2013-2020);Percentage;Roads;74.6
2015;Annual;European Union - 28 countries (2013-2020);Percentage;Roads;75.3
2005;Annual;European Union - 28 countries (2013-2020);Percentage;Inland waterways;6.5
2009;Annual;European Union - 28 countries (2013-2020);Percentage;Inland waterways;6.2
2012;Annual;European Union - 28 countries (2013-2020);Percentage;Inland waterways;6.8
2014;Annual;European Union - 28 countries (2013-2020);Percentage;Inland waterways;6.8
2005;Annual;Bulgaria;Percentage;Railways, inland waterways - sum of available data;52.4
2009;Annual;Bulgaria;Percentage;Railways, inland waterways - sum of available data;49.5
2010;Annual;Bulgaria;Percentage;Railways, inland waterways - sum of available data;50.6
2014;Annual;Bulgaria;Percentage;Railways, inland waterways - sum of available data;45.1
2018;Annual;Czechia;Percentage;Roads;72.4
2013;Annual;Poland;Percentage;Railways, inland waterways - sum of available data;26.5
2018;Annual;Poland;Percentage;Railways, inland waterways - sum of available data;26.9
2005;Annual;Slovakia;Percentage;Roads;50.5
2008;Annual;Slovakia;Percentage;Roads;54.9
2011;Annual;Slovakia;Percentage;Roads;57.3
2016;Annual;Slovakia;Percentage;Roads;61.7
2006;Annual;Denmark;Percentage;Railways, inland waterways - sum of available data;9.7
2015;Annual;Denmark;Percentage;Railways, inland waterways - sum of available data;12.0
2009;Annual;Belgium;Percentage;Inland waterways;12.2
2011;Annual;Belgium;Percentage;Inland waterways;14.8
2013;Annual;Czechia;Percentage;Inland waterways;0.1
2005;Annual;Denmark;Percentage;Railways;10.6
2006;Annual;Denmark;Percentage;Railways;9.7
2007;Annual;Denmark;Percentage;Railways;8.9
2009;Annual;Denmark;Percentage;Railways;9.1
2016;Annual;Denmark;Percentage;Railways;11.3
2007;Annual;Slovakia;Percentage;Inland waterways;4.4
2009;Annual;Slovakia;Percentage;Inland waterways;4.6
2017;Annual;Slovakia;Percentage;Inland waterways;3.6
2012;Annual;Finland;Percentage;Railways, inland waterways - sum of available data;29.0
2014;Annual;Finland;Percentage;Railways, inland waterways - sum of available data;31.2
2018;Annual;Finland;Percentage;Railways, inland waterways - sum of available data;29.3
2005;Annual;Bulgaria;Percentage;Roads;47.6
2010;Annual;Bulgaria;Percentage;Roads;49.4
2017;Annual;Bulgaria;Percentage;Roads;56.6
2008;Annual;Bulgaria;Percentage;Inland waterways;33.2
2017;Annual;Bulgaria;Percentage;Inland waterways;24.8
2008;Annual;France;Percentage;Inland waterways;2.5
2013;Annual;France;Percentage;Inland waterways;3.0
2014;Annual;France;Percentage;Inland waterways;2.9
2007;Annual;Lithuania;Percentage;Railways, inland waterways - sum of available data;70.9
2010;Annual;Lithuania;Percentage;Railways, inland waterways - sum of available data;72.8
2015;Annual;Lithuania;Percentage;Railways, inland waterways - sum of available data;65.9
2016;Annual;Lithuania;Percentage;Railways, inland waterways - sum of available data;65.0
2017;Annual;Lithuania;Percentage;Railways, inland waterways - sum of available data;66.7
2007;Annual;Bulgaria;Percentage;Railways;23.1
2008;Annual;Bulgaria;Percentage;Railways;21.7
2016;Annual;Bulgaria;Percentage;Railways;17.1
2005;Annual;Czechia;Percentage;Railways;31.4
2011;Annual;Czechia;Percentage;Railways;30.1
2013;Annual;Czechia;Percentage;Railways;28.3
2017;Annual;Czechia;Percentage;Railways;26.9
2018;Annual;Czechia;Percentage;Railways;27.6
2010;Annual;European Union - 28 countries (2013-2020);Percentage;Railways, inland waterways - sum of available data;24.3
2013;Annual;European Union - 28 countries (2013-2020);Percentage;Railways, inland waterways - sum of available data;25.2
2005;Annual;Belgium;Percentage;Railways, inland waterways - sum of available data;26.3
2006;Annual;Belgium;Percentage;Railways, inland waterways - sum of available data;26.7
2008;Annual;Belgium;Percentage;Railways, inland waterways - sum of available data;27.2
2011;Annual;Belgium;Percentage;Railways, inland waterways - sum of available data;27.0
2017;Annual;Belgium;Percentage;Railways, inland waterways - sum of available data;26.4
2013;Annual;Greece;Percentage;Railways, inland waterways - sum of available data;1.5
2017;Annual;Greece;Percentage;Railways, inland waterways - sum of available data;1.8
2011;Annual;Greece;Percentage;Roads;98.2
2012;Annual;Greece;Percentage;Roads;98.5
2015;Annual;Greece;Percentage;Roads;98.4
2008;Annual;Croatia;Percentage;Railways;22.6
2016;Annual;Croatia;Percentage;Railways;19.2
2005;Annual;Italy;Percentage;Roads;89.9
2009;Annual;Italy;Percentage;Roads;90.8
2011;Annual;Italy;Percentage;Roads;88.8
2013;Annual;Italy;Percentage;Roads;88.1
2018;Annual;Italy;Percentage;Roads;86.8
2012;Annual;Sweden;Percentage;Railways;35.8
2015;Annual;Sweden;Percentage;Railways;29.5
2009;Annual;United Kingdom;Percentage;Roads;88.3
2005;Annual;Germany (until 1990 former territory of the FRG);Percentage;Railways, inland waterways - sum of available data;30.1
2006;Annual;Germany (until 1990 former territory of the FRG);Percentage;Railways, inland waterways - sum of available data;30.2
2018;Annual;Germany (until 1990 former territory of the FRG);Percentage;Railways, inland waterways - sum of available data;27.2
2005;Annual;Estonia;Percentage;Railways, inland waterways - sum of available data;80.0
2008;Annual;Estonia;Percentage;Railways, inland waterways - sum of available data;68.2
2014;Annual;Estonia;Percentage;Railways, inland waterways - sum of available data;55.2
2016;Annual;Estonia;Percentage;Roads;57.1
2009;Annual;Spain;Percentage;Roads;96.0
2010;Annual;Spain;Percentage;Roads;95.4
2014;Annual;Spain;Percentage;Roads;94.1
2016;Annual;Spain;Percentage;Roads;94.7
2011;Annual;Denmark;Percentage;Roads;87.6
2014;Annual;Denmark;Percentage;Roads;88.8
2016;Annual;Denmark;Percentage;Roads;88.7
2010;Annual;Germany (until 1990 former territory of the FRG);Percentage;Railways;18.7
2012;Annual;Germany (until 1990 former territory of the FRG);Percentage;Railways;19.1
2014;Annual;Germany (until 1990 former territory of the FRG);Percentage;Railways;18.8
2018;Annual;Germany (until 1990 former territory of the FRG);Percentage;Railways;19.8
2006;Annual;United Kingdom;Percentage;Inland waterways;0.1
2013;Annual;United Kingdom;Percentage;Inland waterways;0.1
2018;Annual;United Kingdom;Percentage;Inland waterways;0.1
2017;Annual;Estonia;Percentage;Railways;44.4
2018;Annual;Estonia;Percentage;Railways;46.2
2005;Annual;Ireland;Percentage;Railways, inland waterways - sum of available data;1.9
2007;Annual;Ireland;Percentage;Railways, inland waterways - sum of available data;0.8
2008;Annual;Ireland;Percentage;Railways, inland waterways - sum of available data;0.7
2011;Annual;Ireland;Percentage;Railways, inland waterways - sum of available data;1.2
2017;Annual;Ireland;Percentage;Railways, inland waterways - sum of available data;0.9
2005;Annual;Italy;Percentage;Railways;10.0
2010;Annual;Italy;Percentage;Railways;9.2
2006;Annual;Luxembourg;Percentage;Roads;69.8
2007;Annual;Luxembourg;Percentage;Roads;68.5
2011;Annual;Luxembourg;Percentage;Roads;78.4
2013;Annual;Luxembourg;Percentage;Roads;82.2
2014;Annual;Luxembourg;Percentage;Roads;85.5
2015;Annual;Luxembourg;Percentage;Roads;84.9
2013;Annual;Ireland;Percentage;Railways;1.1
2016;Annual;Ireland;Percentage;Railways;0.9
2017;Annual;Ireland;Percentage;Railways;0.9
2018;Annual;Ireland;Percentage;Railways;0.8
2008;Annual;Spain;Percentage;Railways, inland waterways - sum of available data;4.8
2012;Annual;Spain;Percentage;Railways, inland waterways - sum of available data;5.3
2017;Annual;Spain;Percentage;Railways, inland waterways - sum of available data;5.1
2011;Annual;Germany (until 1990 former territory of the FRG);Percentage;Roads;71.3
2017;Annual;Germany (until 1990 former territory of the FRG);Percentage;Roads;72.1
2010;Annual;Germany (until 1990 former territory of the FRG);Percentage;Inland waterways;10.8
2012;Annual;Germany (until 1990 former territory of the FRG);Percentage;Inland waterways;10.1
2017;Annual;Germany (until 1990 former territory of the FRG);Percentage;Inland waterways;8.6
2009;Annual;Italy;Percentage;Railways, inland waterways - sum of available data;9.2
2014;Annual;Italy;Percentage;Railways, inland waterways - sum of available data;13.2
2010;Annual;Hungary;Percentage;Roads;65.5
2014;Annual;Hungary;Percentage;Roads;63.4
2018;Annual;Hungary;Percentage;Roads;68.9
2010;Annual;Netherlands;Percentage;Railways, inland waterways - sum of available data;51.6
2015;Annual;Netherlands;Percentage;Railways, inland waterways - sum of available data;51.6
2015;Annual;Netherlands;Percentage;Roads;48.4
2006;Annual;Hungary;Percentage;Inland waterways;5.3
2008;Annual;Hungary;Percentage;Inland waterways;5.7
2012;Annual;Portugal;Percentage;Railways;12.8
2005;Annual;Italy;Percentage;Inland waterways;0.0
2005;Annual;Latvia;Percentage;Railways;84.1
2007;Annual;Latvia;Percentage;Railways;80.6
2010;Annual;Latvia;Percentage;Railways;82.1
2011;Annual;Latvia;Percentage;Railways;84.2
2012;Annual;Latvia;Percentage;Railways;84.1
2006;Annual;Lithuania;Percentage;Railways;71.1
2009;Annual;Lithuania;Percentage;Railways;70.4
2013;Annual;Lithuania;Percentage;Railways;66.6
2015;Annual;Lithuania;Percentage;Railways;65.9
2017;Annual;Lithuania;Percentage;Railways;66.7
2007;Annual;Luxembourg;Percentage;Railways, inland waterways - sum of available data;31.5
2008;Annual;Luxembourg;Percentage;Railways, inland waterways - sum of available data;23.0
2015;Annual;Luxembourg;Percentage;Railways, inland waterways - sum of available data;15.1
2016;Annual;Luxembourg;Percentage;Railways, inland waterways - sum of available data;12.7
2008;Annual;Romania;Percentage;Roads;49.8
2011;Annual;Romania;Percentage;Roads;37.2
2016;Annual;Romania;Percentage;Roads;40.3
2006;Annual;Romania;Percentage;Inland waterways;23.4
2008;Annual;Romania;Percentage;Inland waterways;25.8
2018;Annual;Romania;Percentage;Inland waterways;27.1
2006;Annual;Romania;Percentage;Railways, inland waterways - sum of available data;48.4
2007;Annual;Romania;Percentage;Railways, inland waterways - sum of available data;48.9
2011;Annual;Romania;Percentage;Railways, inland waterways - sum of available data;62.8
2012;Annual;Romania;Percentage;Railways, inland waterways - sum of available data;60.6
2017;Annual;Romania;Percentage;Railways, inland waterways - sum of available data;57.6
2010;Annual;Switzerland;Percentage;Railways;33.8
2017;Annual;Switzerland;Percentage;Railways;34.8
2011;Annual;Slovakia;Percentage;Railways;38.2
2016;Annual;Slovakia;Percentage;Railways;34.6
2005;Annual;Sweden;Percentage;Railways, inland waterways - sum of available data;32.4
2007;Annual;Sweden;Percentage;Railways, inland waterways - sum of available data;32.7
2009;Annual;Sweden;Percentage;Railways, inland waterways - sum of available data;33.3
2013;Annual;Austria;Percentage;Roads;64.0
2015;Annual;Austria;Percentage;Roads;64.7
2018;Annual;Austria;Percentage;Roads;66.3
2007;Annual;Austria;Percentage;Inland waterways;4.2
2008;Annual;Austria;Percentage;Inland waterways;3.6
2010;Annual;Austria;Percentage;Inland waterways;4.0
2011;Annual;Austria;Percentage;Inland waterways;3.4
2015;Annual;Austria;Percentage;Inland waterways;2.8
2017;Annual;Austria;Percentage;Inland waterways;2.9
2005;Annual;Poland;Percentage;Roads;63.3
2006;Annual;Poland;Percentage;Roads;62.7
2005;Annual;Poland;Percentage;Inland waterways;0.2
2008;Annual;Luxembourg;Percentage;Inland waterways;13.1
2012;Annual;Luxembourg;Percentage;Inland waterways;8.9
2014;Annual;Luxembourg;Percentage;Inland waterways;8.4
2015;Annual;Luxembourg;Percentage;Inland waterways;8.0
2009;Annual;Hungary;Percentage;Railways;24.1
2010;Annual;Hungary;Percentage;Railways;27.1
2011;Annual;Hungary;Percentage;Railways;28.5
2012;Annual;Hungary;Percentage;Railways;29.8
2015;Annual;Hungary;Percentage;Railways;29.5
2005;Annual;Ireland;Percentage;Roads;98.1
2012;Annual;Ireland;Percentage;Roads;99.0
2016;Annual;Ireland;Percentage;Roads;99.1
2006;Annual;Spain;Percentage;Railways;5.0
2012;Annual;Spain;Percentage;Railways;5.3
2007;Annual;United Kingdom;Percentage;Railways, inland waterways - sum of available data;10.7
2006;Annual;Norway;Percentage;Railways;15.8
2008;Annual;Norway;Percentage;Railways;15.6
2009;Annual;Norway;Percentage;Railways;16.4
2007;Annual;Portugal;Percentage;Railways, inland waterways - sum of available data;9.1
2011;Annual;Portugal;Percentage;Railways, inland waterways - sum of available data;10.9
2012;Annual;Portugal;Percentage;Railways, inland waterways - sum of available data;12.8
2018;Annual;Portugal;Percentage;Railways, inland waterways - sum of available data;14.2
2009;Annual;Slovenia;Percentage;Railways;28.0
2013;Annual;Slovenia;Percentage;Railways;34.8
2018;Annual;Slovenia;Percentage;Railways;35.3
2009;Annual;Portugal;Percentage;Roads;90.6
2018;Annual;Romania;Percentage;Railways;28.9
2006;Annual;Norway;Percentage;Railways, inland waterways - sum of available data;15.8
2011;Annual;Norway;Percentage;Railways, inland waterways - sum of available data;15.8
2012;Annual;Norway;Percentage;Railways, inland waterways - sum of available data;14.8
2013;Annual;Norway;Percentage;Railways, inland waterways - sum of available data;13.3
2011;Annual;Switzerland;Percentage;Railways, inland waterways - sum of available data;35.3
2008;Annual;Cyprus;Percentage;Roads;100.0
2014;Annual;Cyprus;Percentage;Roads;100.0
2015;Annual;Cyprus;Percentage;Roads;100.0
2008;Annual;Lithuania;Percentage;Roads;27.0
2010;Annual;Lithuania;Percentage;Roads;27.2
2015;Annual;Lithuania;Percentage;Roads;34.1
2017;Annual;Lithuania;Percentage;Roads;33.3
2008;Annual;Netherlands;Percentage;Inland waterways;44.2
2009;Annual;Netherlands;Percentage;Inland waterways;41.0
2011;Annual;Netherlands;Percentage;Inland waterways;45.6
2005;Annual;Austria;Percentage;Railways;35.7
2010;Annual;Austria;Percentage;Railways;33.0
2013;Annual;Austria;Percentage;Railways;32.1
2016;Annual;Austria;Percentage;Railways;32.2
2011;Annual;Lithuania;Percentage;Inland waterways;0.0
2015;Annual;Lithuania;Percentage;Inland waterways;0.0
2017;Annual;Lithuania;Percentage;Inland waterways;0.0
2018;Annual;Lithuania;Percentage;Inland waterways;0.0
2006;Annual;Luxembourg;Percentage;Railways;16.2
2012;Annual;Luxembourg;Percentage;Railways;7.1
2010;Annual;Slovenia;Percentage;Railways, inland waterways - sum of available data;31.8
2014;Annual;Slovenia;Percentage;Railways, inland waterways - sum of available data;36.0
2016;Annual;Slovenia;Percentage;Railways, inland waterways - sum of available data;33.9
2017;Annual;Slovenia;Percentage;Railways, inland waterways - sum of available data;35.5
2011;Annual;Finland;Percentage;Railways;27.6
2013;Annual;Finland;Percentage;Railways;30.1
2015;Annual;Hungary;Percentage;Railways, inland waterways - sum of available data;34.9
2007;Annual;Poland;Percentage;Railways;36.2
2010;Annual;Poland;Percentage;Railways;29.5
2015;Annual;Poland;Percentage;Railways;25.5
2016;Annual;Poland;Percentage;Railways;24.7
2010;Annual;Slovenia;Percentage;Roads;68.2
2013;Annual;Slovenia;Percentage;Roads;65.2
2011;Annual;Finland;Percentage;Roads;72.2
2012;Annual;Finland;Percentage;Roads;71.0
2014;Annual;Finland;Percentage;Roads;68.8
2015;Annual;Finland;Percentage;Roads;72.6
2006;Annual;Finland;Percentage;Inland waterways;0.2
2017;Annual;Finland;Percentage;Inland waterways;0.3
2018;Annual;Sweden;Percentage;Inland waterways;0.0
2006;Annual;Sweden;Percentage;Roads;67.8
2010;Annual;Sweden;Percentage;Roads;64.4
2013;Annual;Sweden;Percentage;Roads;66.3
2007;Annual;European Union - 28 countries (2013-2020);Percentage;Railways;18.2
2008;Annual;European Union - 28 countries (2013-2020);Percentage;Railways;18.1
2009;Annual;European Union - 28 countries (2013-2020);Percentage;Railways;16.9
2017;Annual;European Union - 28 countries (2013-2020);Percentage;Railways;17.7
2008;Annual;Belgium;Percentage;Railways;13.7
2007;Annual;Greece;Percentage;Railways;3.3
2008;Annual;Greece;Percentage;Railways;2.9
2011;Annual;Greece;Percentage;Railways;1.8
